Name,City,Country Code,Days,Start,End
ma chicago,Sydney,AU,0,0730,1530
ma chicago,Sydney,AU,1,0730,1530
ma chicago,Sydney,AU,2,0730,1530
ma chicago,Sydney,AU,3,0730,1530
ma chicago,Sydney,AU,4,0730,1530
ma chicago,Braddon,AU,0,1130,1500
ma chicago,Braddon,AU,0,1730,0000
ma chicago,Braddon,AU,1,1130,1500
ma chicago,Braddon,AU,1,1730,0000
ma chicago,Braddon,AU,2,1130,1500
ma chicago,Braddon,AU,2,1730,0000
ma chicago,Braddon,AU,3,1130,1500
ma chicago,Braddon,AU,3,1730,0000
ma chicago,Braddon,AU,4,1130,1500
ma chicago,Braddon,AU,4,1730,0000
ma chicago,Braddon,AU,5,1130,1500
ma chicago,Braddon,AU,5,1730,0000
ma chicago,Braddon,AU,6,1130,1500
ma chicago,Braddon,AU,6,1730,0000
ma chicago,Melbourne,AU,0,1100,2130
ma chicago,Melbourne,AU,1,1100,2130
ma chicago,Melbourne,AU,2,1100,2130
ma chicago,Melbourne,AU,3,1100,2130
ma chicago,Melbourne,AU,4,1100,2130
ma chicago,Melbourne,AU,5,1630,2130
ma chicago,Melbourne,AU,6,1630,2130
ma chicago,Brisbane,AU,0,0630,2100
ma chicago,Brisbane,AU,1,0630,2100
ma chicago,Brisbane,AU,2,0630,2100
ma chicago,Brisbane,AU,3,0630,2100
ma chicago,Brisbane,AU,4,0630,2100
ma chicago,Brisbane,AU,5,0700,1100
ma chicago,Brisbane,AU,5,1500,2100
ma chicago,Brisbane,AU,6,0700,1100
ma chicago,Melbourne,AU,0,1700,0100
ma chicago,Melbourne,AU,1,1700,0100
ma chicago,Melbourne,AU,2,1700,0100
ma chicago,Melbourne,AU,3,1700,0100
ma chicago,Melbourne,AU,4,1600,0100
ma chicago,Melbourne,AU,5,1700,0300
ma chicago,Melbourne,AU,6,1800,0100
ma chicago,Perth,AU,1,1100,1500
ma chicago,Perth,AU,1,1800,0000
ma chicago,Perth,AU,2,1100,1500
ma chicago,Perth,AU,2,1800,0000
ma chicago,Perth,AU,3,1100,1500
ma chicago,Perth,AU,3,1800,0000
ma chicago,Perth,AU,4,1100,1500
ma chicago,Perth,AU,4,1800,0000
ma chicago,Perth,AU,5,1100,1500
ma chicago,Perth,AU,5,1800,0000
ma chicago,Sydney,AU,0,1600,0000
ma chicago,Sydney,AU,1,1600,0000
ma chicago,Sydney,AU,2,1600,0000
ma chicago,Sydney,AU,3,1600,0000
ma chicago,Sydney,AU,4,1600,0000
ma chicago,Sydney,AU,5,1600,0000
ma chicago,Perth,AU,0,1000,1500
ma chicago,Perth,AU,2,1000,1500
ma chicago,Perth,AU,3,1000,1500
ma chicago,Perth,AU,4,1000,1500
ma chicago,Perth,AU,5,0900,1500
ma chicago,Perth,AU,6,0900,1500
ma chicago,Sydney,AU,0,1000,0400
ma chicago,Sydney,AU,1,1000,0400
ma chicago,Sydney,AU,2,1000,0400
ma chicago,Sydney,AU,3,1000,0400
ma chicago,Sydney,AU,4,1000,0500
ma chicago,Sydney,AU,5,1000,0500
ma chicago,Sydney,AU,6,1000,0400
ma chicago,Sydney,AU,0,1200,1430
ma chicago,Sydney,AU,0,1630,2300
ma chicago,Sydney,AU,1,1200,1430
ma chicago,Sydney,AU,1,1630,2300
ma chicago,Sydney,AU,2,1200,1430
ma chicago,Sydney,AU,2,1630,2300
ma chicago,Sydney,AU,3,1200,1430
ma chicago,Sydney,AU,3,1630,2300
ma chicago,Sydney,AU,4,1200,1430
ma chicago,Sydney,AU,4,1630,0000
ma chicago,Sydney,AU,5,1630,0000
ma chicago,Sydney,AU,6,1630,0000
ma chicago,Kingston,AU,0,0700,1500
ma chicago,Kingston,AU,1,0700,1500
ma chicago,Kingston,AU,2,0700,1500
ma chicago,Kingston,AU,3,0700,1500
ma chicago,Kingston,AU,4,0700,1500
ma chicago,Kingston,AU,5,0700,1500
ma chicago,Kingston,AU,6,0800,1500
ma chicago,Melbourne,AU,0,1200,1500
ma chicago,Melbourne,AU,0,1700,2130
ma chicago,Melbourne,AU,1,1200,1500
ma chicago,Melbourne,AU,1,1700,2130
ma chicago,Melbourne,AU,2,1200,1500
ma chicago,Melbourne,AU,2,1700,2130
ma chicago,Melbourne,AU,3,1200,1500
ma chicago,Melbourne,AU,3,1700,2130
ma chicago,Melbourne,AU,4,1200,2200
ma chicago,Melbourne,AU,5,1200,2200
ma chicago,Melbourne,AU,6,1200,2130
ma chicago,Surry Hills,AU,1,1200,1500
ma chicago,Surry Hills,AU,1,1800,0000
ma chicago,Surry Hills,AU,2,1200,1500
ma chicago,Surry Hills,AU,2,1800,0000
ma chicago,Surry Hills,AU,3,1200,1500
ma chicago,Surry Hills,AU,3,1800,0000
ma chicago,Surry Hills,AU,4,1200,1500
ma chicago,Surry Hills,AU,4,1800,0000
ma chicago,Surry Hills,AU,5,1200,1500
ma chicago,Surry Hills,AU,5,1800,0000
ma chicago,Surry Hills,AU,6,1200,1800
ma chicago,Melbourne,AU,0,0700,1430
ma chicago,Melbourne,AU,1,0700,1430
ma chicago,Melbourne,AU,2,0700,1430
ma chicago,Melbourne,AU,3,0700,1430
ma chicago,Melbourne,AU,4,0700,1430
ma chicago,Brisbane,AU,0,1100,2100
ma chicago,Brisbane,AU,1,1100,2100
ma chicago,Brisbane,AU,2,1100,2100
ma chicago,Brisbane,AU,3,1100,2100
ma chicago,Brisbane,AU,4,1100,2200
ma chicago,Brisbane,AU,5,1100,2200
ma chicago,Brisbane,AU,6,1100,2100
ma chicago,Melbourne,AU,0,0700,1600
ma chicago,Melbourne,AU,1,0700,1600
ma chicago,Melbourne,AU,2,0700,1600
ma chicago,Melbourne,AU,3,0700,1600
ma chicago,Melbourne,AU,4,0700,1600
ma chicago,Sydney,AU,0,1100,1500
ma chicago,Sydney,AU,0,1800,2100
ma chicago,Sydney,AU,1,1100,1500
ma chicago,Sydney,AU,1,1800,2100
ma chicago,Sydney,AU,2,1100,1500
ma chicago,Sydney,AU,2,1800,2100
ma chicago,Sydney,AU,3,1100,1500
ma chicago,Sydney,AU,3,1800,2100
ma chicago,Sydney,AU,4,1100,1500
ma chicago,Sydney,AU,4,1800,2100
ma chicago,Sydney,AU,0,1100,0000
ma chicago,Sydney,AU,1,1100,0000
ma chicago,Sydney,AU,2,1100,0000
ma chicago,Sydney,AU,3,1100,0000
ma chicago,Sydney,AU,4,1100,0000
ma chicago,Sydney,AU,5,1100,0000
ma chicago,Sydney,AU,6,1100,0000
ma chicago,Canberra,AU,0,0630,1600
ma chicago,Canberra,AU,1,0630,1600
ma chicago,Canberra,AU,2,0630,1600
ma chicago,Canberra,AU,3,0630,1600
ma chicago,Canberra,AU,4,0630,1600
ma chicago,Canberra,AU,5,0730,1700
ma chicago,Canberra,AU,6,0730,1700
ma chicago,Melbourne,AU,0,1100,2300
ma chicago,Melbourne,AU,1,1100,2300
ma chicago,Melbourne,AU,2,1100,2300
ma chicago,Melbourne,AU,3,1100,2300
ma chicago,Melbourne,AU,4,1100,2300
ma chicago,Melbourne,AU,5,1100,2300
ma chicago,Melbourne,AU,6,1100,2300
ma chicago,Melbourne,AU,0,0730,1700
ma chicago,Melbourne,AU,1,0730,1700
ma chicago,Melbourne,AU,2,0730,1700
ma chicago,Melbourne,AU,3,0730,0000
ma chicago,Melbourne,AU,4,0730,0000
ma chicago,Melbourne,AU,5,1800,0000
ma chicago,Inglewood,AU,1,1700,0000
ma chicago,Inglewood,AU,2,1700,0000
ma chicago,Inglewood,AU,3,1700,0000
ma chicago,Inglewood,AU,4,1700,0000
ma chicago,Inglewood,AU,5,1700,0000
ma chicago,Inglewood,AU,6,1700,0000
ma chicago,Melbourne,AU,0,0730,2200
ma chicago,Melbourne,AU,1,0730,2200
ma chicago,Melbourne,AU,2,0730,2200
ma chicago,Melbourne,AU,3,0730,2200
ma chicago,Melbourne,AU,4,0730,2200
ma chicago,Melbourne,AU,5,0730,2200
ma chicago,Brisbane,AU,0,1100,2130
ma chicago,Brisbane,AU,1,1100,1430
ma chicago,Brisbane,AU,1,1700,2130
ma chicago,Brisbane,AU,2,1100,1430
ma chicago,Brisbane,AU,2,1700,2130
ma chicago,Brisbane,AU,3,1100,1430
ma chicago,Brisbane,AU,3,1700,2130
ma chicago,Brisbane,AU,4,1100,1430
ma chicago,Brisbane,AU,4,1700,2130
ma chicago,Brisbane,AU,5,1100,2130
ma chicago,Brisbane,AU,6,1100,2130
ma chicago,Sydney,AU,0,1100,0100
ma chicago,Sydney,AU,1,1100,0100
ma chicago,Sydney,AU,2,1100,0100
ma chicago,Sydney,AU,3,1100,0100
ma chicago,Sydney,AU,4,1100,0100
ma chicago,Sydney,AU,5,1100,0100
ma chicago,Sydney,AU,6,1100,0100
ma chicago,Melbourne,AU,0,0830,0000
ma chicago,Melbourne,AU,1,0830,0000
ma chicago,Melbourne,AU,2,0830,0000
ma chicago,Melbourne,AU,3,0830,0000
ma chicago,Melbourne,AU,4,0830,0000
ma chicago,Melbourne,AU,5,0930,0000
ma chicago,Melbourne,AU,6,1000,0000
ma chicago,Perth,AU,0,1130,2130
ma chicago,Perth,AU,1,1130,2130
ma chicago,Perth,AU,2,1130,2130
ma chicago,Perth,AU,3,1130,2130
ma chicago,Perth,AU,4,1130,2130
ma chicago,Perth,AU,5,1130,2130
ma chicago,Perth,AU,6,1130,2130
ma chicago,Sydney,AU,0,0800,2300
ma chicago,Sydney,AU,1,0800,2300
ma chicago,Sydney,AU,2,0800,2300
ma chicago,Sydney,AU,3,0800,2300
ma chicago,Sydney,AU,4,0800,2300
ma chicago,Sydney,AU,5,1000,2300
ma chicago,Sydney,AU,6,1000,2200
ma chicago,Melbourne,AU,0,0700,1530
ma chicago,Melbourne,AU,2,0700,1530
ma chicago,Melbourne,AU,3,0700,1530
ma chicago,Melbourne,AU,4,0700,1530
ma chicago,Melbourne,AU,5,0730,1600
ma chicago,Melbourne,AU,6,0730,1600
ma chicago,Perth,AU,0,1200,1430
ma chicago,Perth,AU,0,1800,2130
ma chicago,Perth,AU,1,1200,1430
ma chicago,Perth,AU,1,1800,2130
ma chicago,Perth,AU,2,1200,1430
ma chicago,Perth,AU,2,1800,2130
ma chicago,Perth,AU,3,1200,1430
ma chicago,Perth,AU,3,1800,2130
ma chicago,Perth,AU,4,1200,1430
ma chicago,Perth,AU,4,1800,2200
ma chicago,Perth,AU,5,1200,1500
ma chicago,Perth,AU,5,1800,2200
ma chicago,Perth,AU,6,1200,1500
ma chicago,Perth,AU,6,1800,2130
ma chicago,Melbourne,AU,0,0600,1700
ma chicago,Melbourne,AU,1,0600,1700
ma chicago,Melbourne,AU,2,0600,1700
ma chicago,Melbourne,AU,3,0600,1700
ma chicago,Melbourne,AU,4,0600,1700
ma chicago,Melbourne,AU,5,0600,1700
ma chicago,Melbourne,AU,6,0800,1600
ma chicago,Brisbane,AU,0,1100,2100
ma chicago,Brisbane,AU,1,1100,2100
ma chicago,Brisbane,AU,2,1100,2100
ma chicago,Brisbane,AU,3,1100,2100
ma chicago,Brisbane,AU,4,1100,2100
ma chicago,Brisbane,AU,5,1100,2100
ma chicago,Melbourne,AU,0,1130,2100
ma chicago,Melbourne,AU,1,1130,2100
ma chicago,Melbourne,AU,2,1130,2100
ma chicago,Melbourne,AU,3,1130,2100
ma chicago,Melbourne,AU,4,1130,2200
ma chicago,Melbourne,AU,5,1130,2130
ma chicago,Melbourne,AU,6,1130,2100
ma chicago,Melbourne,AU,0,1200,2130
ma chicago,Melbourne,AU,1,1200,2130
ma chicago,Melbourne,AU,2,1200,2130
ma chicago,Melbourne,AU,3,1200,2130
ma chicago,Melbourne,AU,4,1200,2230
ma chicago,Melbourne,AU,5,1200,2130
ma chicago,Melbourne,AU,6,1200,2130
ma chicago,Sydney,AU,0,1130,2100
ma chicago,Sydney,AU,1,1130,2100
ma chicago,Sydney,AU,2,1130,2100
ma chicago,Sydney,AU,3,1130,2100
ma chicago,Sydney,AU,4,1130,2100
ma chicago,Sydney,AU,5,1730,2100
ma chicago,Sydney,AU,0,1200,1500
ma chicago,Sydney,AU,0,1800,2200
ma chicago,Sydney,AU,1,1200,1500
ma chicago,Sydney,AU,1,1800,2200
ma chicago,Sydney,AU,2,1200,1500
ma chicago,Sydney,AU,2,1800,2200
ma chicago,Sydney,AU,3,1200,1500
ma chicago,Sydney,AU,3,1800,2200
ma chicago,Sydney,AU,4,1200,1500
ma chicago,Sydney,AU,4,1800,2200
ma chicago,Sydney,AU,5,1800,2200
ma chicago,Perth,AU,0,1500,0000
ma chicago,Perth,AU,1,1500,0000
ma chicago,Perth,AU,2,1500,0000
ma chicago,Perth,AU,3,1500,0000
ma chicago,Perth,AU,4,1500,0000
ma chicago,Perth,AU,5,1500,0000
ma chicago,Perth,AU,6,1500,0000
