,home,score
0,Durham,155.37142857142857
1,Hampshire,161.79591836734693
3,Surrey,155.7906976744186
4,Worcestershire,168.05882352941177
5,Gloucestershire,154.63636363636363
6,Surrey,155.7906976744186
7,Yorkshire,158.0
9,Kent,157.525
10,Leicestershire,156.27027027027026
11,Nottinghamshire,165.47058823529412
12,Surrey,155.7906976744186
17,Sussex,157.33333333333334
18,Derbyshire,146.57142857142858
19,Gloucestershire,154.63636363636363
20,Lancashire,154.05769230769232
21,Middlesex,150.66666666666666
22,Leicestershire,156.27027027027026
23,Northamptonshire,163.0810810810811
24,Warwickshire,157.925
25,Yorkshire,158.0
30,Sussex,157.33333333333334
31,Derbyshire,146.57142857142858
32,Glamorgan,145.3548387096774
34,Middlesex,150.66666666666666
36,Gloucestershire,154.63636363636363
38,Lancashire,154.05769230769232
39,Leicestershire,156.27027027027026
41,Worcestershire,168.05882352941177
42,Yorkshire,158.0
43,Essex,167.3409090909091
44,Sussex,157.33333333333334
47,Surrey,155.7906976744186
55,Eastern Cape,116.0
56,Titans,155.475
57,Dolphins,157.17857142857142
61,Eagles,152.08333333333334
62,Titans,155.475
67,Kent,157.525
70,Nottinghamshire,165.47058823529412
71,Warwickshire,157.925
72,Worcestershire,168.05882352941177
73,Essex,167.3409090909091
75,Surrey,155.7906976744186
81,Nottinghamshire,165.47058823529412
90,Surrey,155.7906976744186
93,Middlesex,150.66666666666666
96,Hampshire,161.79591836734693
97,Kent,157.525
98,Leicestershire,156.27027027027026
99,Somerset,180.33333333333334
100,Glamorgan,145.3548387096774
101,Yorkshire,158.0
103,Durham,155.37142857142857
105,Hampshire,161.79591836734693
106,Lancashire,154.05769230769232
108,Somerset,180.33333333333334
111,Glamorgan,145.3548387096774
113,Leicestershire,156.27027027027026
114,Surrey,155.7906976744186
117,Leicestershire,156.27027027027026
118,Bloomfield Cricket and Athletic Club,124.16666666666667
119,Burgher Recreation Club,132.4
120,Chilaw Marians Cricket Club,155.75
121,Colombo Cricket Club,161.75
122,Colts Cricket Club,157.55555555555554
123,Kurunegala Youth Cricket Club,148.0
124,Moors Sports Club,144.85714285714286
125,Nondescripts Cricket Club,159.55555555555554
126,Bloomfield Cricket and Athletic Club,124.16666666666667
127,Colts Cricket Club,157.55555555555554
128,Chilaw Marians Cricket Club,155.75
129,Burgher Recreation Club,132.4
132,Chilaw Marians Cricket Club,155.75
134,Eagles,152.08333333333334
135,Lions,154.02702702702703
138,Titans,155.475
140,Eagles,152.08333333333334
141,Warriors,145.0857142857143
143,Titans,155.475
144,Warriors,145.0857142857143
146,Lions,154.02702702702703
149,Titans,155.475
150,Warriors,145.0857142857143
151,Titans,155.475
156,Faisalabad Wolves,149.58620689655172
158,Lahore Eagles,165.07692307692307
159,Lahore Lions,159.52631578947367
164,Faisalabad Wolves,149.58620689655172
165,Karachi Zebras,159.11111111111111
166,Lahore Eagles,165.07692307692307
169,Lahore Eagles,165.07692307692307
171,England,157.76470588235293
172,Derbyshire,146.57142857142858
175,Leicestershire,156.27027027027026
176,Northamptonshire,163.0810810810811
177,Worcestershire,168.05882352941177
179,Glamorgan,145.3548387096774
180,Sussex,157.33333333333334
182,Somerset,180.33333333333334
183,Derbyshire,146.57142857142858
184,Gloucestershire,154.63636363636363
186,Northamptonshire,163.0810810810811
187,Nottinghamshire,165.47058823529412
188,Essex,167.3409090909091
192,Essex,167.3409090909091
193,Gloucestershire,154.63636363636363
194,Leicestershire,156.27027027027026
196,Hampshire,161.79591836734693
197,Lancashire,154.05769230769232
198,Somerset,180.33333333333334
200,Durham,155.37142857142857
203,Surrey,155.7906976744186
204,Yorkshire,158.0
205,Lancashire,154.05769230769232
206,Middlesex,150.66666666666666
211,Warwickshire,157.925
215,Lancashire,154.05769230769232
216,Middlesex,150.66666666666666
218,Surrey,155.7906976744186
221,Sussex,157.33333333333334
224,Lancashire,154.05769230769232
228,Warwickshire,157.925
233,Essex,167.3409090909091
234,Glamorgan,145.3548387096774
235,Derbyshire,146.57142857142858
237,Kent,157.525
238,Leicestershire,156.27027027027026
240,Somerset,180.33333333333334
242,Warwickshire,157.925
243,Worcestershire,168.05882352941177
244,Lancashire,154.05769230769232
245,Leicestershire,156.27027027027026
247,Surrey,155.7906976744186
248,Lancashire,154.05769230769232
254,Chilaw Marians Cricket Club,155.75
255,Faisalabad Wolves,149.58620689655172
256,Leicestershire,156.27027027027026
258,Faisalabad Wolves,149.58620689655172
261,Bloomfield Cricket and Athletic Club,124.16666666666667
263,Chilaw Marians Cricket Club,155.75
265,Colombo Cricket Club,161.75
267,Sri Lanka Air Force Sports Club,143.0
268,Tamil Union Cricket and Athletic Club,155.625
273,Badureliya Sports Club,155.0
275,Police Sports Club,174.0
276,Ragama Cricket Club,150.625
279,Nondescripts Cricket Club,159.55555555555554
281,Bloomfield Cricket and Athletic Club,124.16666666666667
283,Chilaw Marians Cricket Club,155.75
285,Galle Cricket Club,109.0
289,Bloomfield Cricket and Athletic Club,124.16666666666667
290,Burgher Recreation Club,132.4
293,Galle Cricket Club,109.0
295,Sebastianites Cricket and Athletic Club,139.0
296,Sinhalese Sports Club,158.25
297,Colombo Cricket Club,161.75
299,Ragama Cricket Club,150.625
301,Sinhalese Sports Club,158.25
304,Australia,154.78787878787878
307,Victoria,167.41666666666666
308,New South Wales,137.5
312,Canterbury,161.9
317,Auckland,164.25714285714287
319,New Zealand,152.5
321,Cape Cobras,155.15384615384616
322,Lions,154.02702702702703
324,Titans,155.475
326,Titans,155.475
327,Cape Cobras,155.15384615384616
328,Eagles,152.08333333333334
329,Dolphins,157.17857142857142
330,Titans,155.475
338,Eagles,152.08333333333334
339,Eagles,152.08333333333334
340,South Africa,159.5185185185185
341,Abbottabad Rhinos,165.0
342,Hyderabad Hawks,160.28571428571428
343,Karachi Zebras,159.11111111111111
346,Lahore Lions,159.52631578947367
347,Abbottabad Rhinos,165.0
348,Faisalabad Wolves,149.58620689655172
349,Lahore Lions,159.52631578947367
352,Karachi Zebras,159.11111111111111
355,Lahore Eagles,165.07692307692307
356,Lahore Lions,159.52631578947367
360,Lahore Eagles,165.07692307692307
361,Lahore Lions,159.52631578947367
365,Faisalabad Wolves,149.58620689655172
367,Islamabad Leopards,135.33333333333334
369,Lahore Lions,159.52631578947367
371,Lahore Eagles,165.07692307692307
372,Peshawar Panthers,146.0
374,Faisalabad Wolves,149.58620689655172
375,Karachi Zebras,159.11111111111111
378,Faisalabad Wolves,149.58620689655172
381,Kent,157.525
382,Leicestershire,156.27027027027026
385,Somerset,180.33333333333334
386,Sussex,157.33333333333334
387,Yorkshire,158.0
388,Derbyshire,146.57142857142858
389,Glamorgan,145.3548387096774
390,Nottinghamshire,165.47058823529412
391,Surrey,155.7906976744186
393,Essex,167.3409090909091
394,Gloucestershire,154.63636363636363
395,Hampshire,161.79591836734693
398,Durham,155.37142857142857
400,Nottinghamshire,165.47058823529412
404,Essex,167.3409090909091
405,Glamorgan,145.3548387096774
406,Sussex,157.33333333333334
408,Kent,157.525
411,Hampshire,161.79591836734693
412,Lancashire,154.05769230769232
413,Northamptonshire,163.0810810810811
415,Gloucestershire,154.63636363636363
416,Kent,157.525
417,Nottinghamshire,165.47058823529412
419,Leicestershire,156.27027027027026
427,Essex,167.3409090909091
428,Gloucestershire,154.63636363636363
429,Hampshire,161.79591836734693
430,Leicestershire,156.27027027027026
431,Northamptonshire,163.0810810810811
432,Surrey,155.7906976744186
436,Essex,167.3409090909091
439,Lancashire,154.05769230769232
440,Worcestershire,168.05882352941177
441,Warwickshire,157.925
447,Middlesex,150.66666666666666
448,Nottinghamshire,165.47058823529412
449,Somerset,180.33333333333334
451,Yorkshire,158.0
454,Nottinghamshire,165.47058823529412
455,Leicestershire,156.27027027027026
456,Essex,167.3409090909091
458,Nottinghamshire,165.47058823529412
464,Nevis,104.0
465,St Vincent,96.0
467,Antigua,146.0
468,Guyana,139.57142857142858
471,Grenada,70.0
479,Guyana,139.57142857142858
481,Auckland,164.25714285714287
482,Northern Districts,159.875
490,Bangladesh,145.13333333333333
493,Karachi Zebras,159.11111111111111
498,Faisalabad Wolves,149.58620689655172
