,Title,Awards,Wins,Nominations,Golden Globes Won,Golden Globes Nominated,Oscars Nominated,Oscars Won,Bafta Nominated,Bafta Won,PrimeTime Won,PrimeTime Nominated
3,Who Are You?,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
4,Skeletons in the Closet,1 win.,['1'],[],[],[],[],[],[],[],[],[]
5,Cheerleader Ninjas,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
6,The Girl from Paris,3 wins & 2 nominations.,['3'],['2'],[],[],[],[],[],[],[],[]
7,The Final Curtain,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
11,Crazy/Beautiful,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
13,The Anniversary Party,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
15,The Quiet American,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,['13'],['13'],[],[],['1'],[],[],[],[],[]
18,Like Cat and Mouse,5 wins & 4 nominations.,['5'],['4'],[],[],[],[],[],[],[],[]
24,Punch-Drunk Love,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,['14'],['34'],[],['1'],[],[],[],[],[],[]
25,Romeo,3 wins & 2 nominations.,['3'],['2'],[],[],[],[],[],[],[],[]
28,Academia de baile Gloria,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
31,Return to Never Land,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
34,Better Luck Tomorrow,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
37,A Grande Família,22 wins & 44 nominations.,['22'],['44'],[],[],[],[],[],[],[],[]
38,El lado oscuro del corazón 2,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
39,Slap Shot 2: Breaking the Ice,1 win & 8 nominations.,['1'],['8'],[],[],[],[],[],[],[],[]
43,Van Wilder: Party Liaison,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
47,Black Box BRD,6 wins & 1 nomination.,['6'],['1'],[],[],[],[],[],[],[],[]
50,24,Won 2 Golden Globes. Another 68 wins & 201 nominations.,['68'],['201'],['2'],[],[],[],[],[],[],[]
51,Alias,Won 1 Golden Globe. Another 31 wins & 143 nominations.,['31'],['143'],['1'],[],[],[],[],[],[],[]
53,According to Jim,Nominated for 4 Primetime Emmys. Another 16 nominations.,[],['16'],[],[],[],[],[],[],[],['4']
54,The Education of Max Bickford,3 wins & 2 nominations.,['3'],['2'],[],[],[],[],[],[],[],[]
56,A Padroeira,3 wins & 6 nominations.,['3'],['6'],[],[],[],[],[],[],[],[]
62,Poker,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
69,No Regrets,6 wins & 4 nominations.,['6'],['4'],[],[],[],[],[],[],[],[]
72,Swept Away,7 wins & 6 nominations.,['7'],['6'],[],[],[],[],[],[],[],[]
76,McLeod's Daughters,9 wins & 30 nominations.,['9'],['30'],[],[],[],[],[],[],[],[]
79,The Grim Adventures of Billy & Mandy,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,['1'],['6'],[],[],[],[],[],[],['1'],[]
84,The Big Time,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
87,Harry Potter and the Chamber of Secrets,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,['11'],['39'],[],[],[],[],['3'],[],[],[]
88,Sins of the Father,6 nominations.,[],['6'],[],[],[],[],[],[],[],[]
90,Bachelors Walk,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
91,I Spy,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
94,The Ring,14 wins & 11 nominations.,['14'],['11'],[],[],[],[],[],[],[],[]
97,2DTV,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
102,Black and White,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
116,Ana y los 7,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
117,Australians at War,3 wins & 3 nominations.,['3'],['3'],[],[],[],[],[],[],[],[]
118,American Family,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,['2'],['14'],[],['1'],[],[],[],[],[],[]
121,The Ruby Princess Runs Away,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
134,Andy Richter Controls the Universe,Nominated for 1 Primetime Emmy. Another 1 nomination.,[],['1'],[],[],[],[],[],[],[],['1']
135,Crime and Punishment,3 wins & 1 nomination.,['3'],['1'],[],[],[],[],[],[],[],[]
138,2030 CE,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
139,Ace Lightning,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
146,Chechen Lullaby,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
150,30 by 30: Kid Flicks,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
152,The Bachelor,9 wins & 8 nominations.,['9'],['8'],[],[],[],[],[],[],[],[]
162,A Very British Murder,1 win.,['1'],[],[],[],[],[],[],[],[],[]
164,The Show Must Go On,1 win.,['1'],[],[],[],[],[],[],[],[],[]
166,Broken Wings,15 wins & 4 nominations.,['15'],['4'],[],[],[],[],[],[],[],[]
167,Salvation,1 win.,['1'],[],[],[],[],[],[],[],[],[]
180,Angelina Ballerina,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
181,Any Time Now,3 wins & 6 nominations.,['3'],['6'],[],[],[],[],[],[],[],[]
