Domain,Frequency
aol.com,1639
hotmail.com,515
kslaw.com,398
erac.com,289
yahoo.com,207
bigplanet.com,203
akllp.com,202
compaq.com,197
columbiaenergygroup.com,168
bracepatt.com,167
mindspring.com,129
wfsg.com,116
pdq.net,110
llgm.com,96
cfisd.net,94
earthlink.net,88
csfb.com,88
cs.com,85
rice.edu,84
mail.utexas.edu,68
uniteddc.com,67
houston.rr.com,66
dynegy.com,64
email.msn.com,64
ae.ge.com,62
globalp.com,58
juno.com,56
velaw.com,56
beaconelectric.com,55
flash.net,54
eott.com,52
tupac.com,52
cinergy.com,52
worldnet.att.net,51
ss.ps.ge.com,51
fctg.com,49
williams.com,47
netzero.net,47
ch2m.com,45
ghg.net,45
msl.redstone.army.mil,44
neg.pge.com,43
columbiaenergy.com,43
dow.com,43
basf-corp.com,43
austin.rr.com,41
jonesgranger.com,41
viviance.com,41
duke-energy.com,39
utilicorp.com,39
swbell.net,39
pirnie.com,39
austintx.com,38
qualcomm.com,37
zdnetonebox.com,35
reliantenergy.com,35
ac.com,34
eds.com,34
trinity.edu,33
us.ibm.com,32
accenture.com,32
ps.ge.com,32
kilstock.com,32
home.com,31
amerexenergy.com,31
broadwing.com,30
epenergy.com,29
texas.usta.com,29
azurix.com,29
pgn.com,28
msn.com,27
gbmdc.com,27
us.cgeyc.com,27
bpa.gov,27
chase.com,25
nbsrealtors.com,25
milliman.com,25
natsource.com,24
utmb.edu,24
casa-de-clarke.com,24
mba2002.hbs.edu,23
texas.net,23
kindermorgan.com,23
stanford.edu,22
baylor.edu,22
calpine.com,21
kochind.com,21
sswpc.com,21
jonesday.com,21
fpl.com,20
ml.com,20
andrews-kurth.com,20
att.net,20
piperrudnick.com,20
wcnet.net,20
nicor.com,20
intelligencepress.com,19
satake-usa.com,19
gibbs-bruns.com,19
valic.com,19
bigfoot.com,19
leland.stanford.edu,19
ops.org,19
ev1.net,18
pagenetmessage.net,18
ferc.fed.us,18
wharton.upenn.edu,18
mieco.com,18
brunini.com,18
cobs.edu,18
uschamber.com,17
paulhastings.com,17
pge.com,17
ftenergy.com,16
skytel.com,16
zahrsecurities.com,16
apbenergy.com,16
lacima.co.uk,16
enron.net,16
freshfields.com,16
t-online.de,15
lacimagroup.com,15
jonesenergy.com,15
vision1mm.com,15
mediaone.net,14
ect.enron.com,14
bus.utexas.edu,14
csc.com,14
compuserve.com,14
gmssr.com,14
ieor.berkeley.edu,14
stdauto.com,13
ou.edu,13
us.pwcglobal.com,13
btubrokers.com,13
us.abb.com,13
clarkfineart.com,13
archwireless.net,13
sdge.com,13
elpaso.com,12
infocus.com,12
brobeck.com,12
sempra.com,12
risk.co.uk,12
trin.net,12
aep.com,11
msdw.com,11
coral-energy.com,11
bakerbotts.com,11
pipeline.com,11
halliburton.com,11
us.oracle.com,11
andrew.cmu.edu,11
pecorp.com,11
dialdata.com.br,11
dplinc.com,11
dowjones.com,11
americas.bnpparibas.com,10
aspentech.com,10
tca-us.com,10
hormel.com,10
gtemail.net,10
kmg.com,10
akingump.com,10
us.arthurandersen.com,10
travelpark.com,10
pclient.ml.com,10
stoel.com,10
rpmtec.com,10
kanekatexas.com,10
stennis.navy.mil,10
socalgas.com,10
ehshouston.org,10
tconl.com,10
carrfut.com,9
cmsenergy.com,9
hanovermeasurement.com,9
teamlead.com,9
txuenergy.com,9
metronet.com,9
texaco.com,9
mail.sprint.com,9
dwt.com,9
darbylaw.com,9
zeusdevelopment.com,9
keyad.com,8
painewebber.com,8
usa.conoco.com,8
caiso.com,8
prebon.com,8
njng.com,8
vailresorts.com,8
sprintmail.com,8
dhs.state.tx.us,8
wt.net,8
emc.com,8
dom.com,8
us.ca-indosuez.com,8
fluor.com,8
lmco.com,8
iservco.com,8
dlj.com,8
stewart.com,8
ziplip.com,8
lsu.edu,8
foleys.com,8
czn.com,8
ca.pwcglobal.com,8
watervalley.net,8
southwestern.edu,8
fce.com,8
computerworld.com,8
bayer.com,8
overlandpartners.com,8
igservice.com,8
kpcb.com,8
tvapdx.com,8
rssmb.com,7
ssmb.com,7
oxy.com,7
entergy.com,7
njresources.com,7
poha.com,7
coair.com,7
deloitte.ca,7
txu.com,7
digitrain.com,7
mato.com,7
wgp.twc.com,7
mca-architects.com,7
epelectric.com,7
jaecklewholesale.com,7
sppc.com,7
pacifier.com,7
icubed.com,7
lakeaustin.com,7
vapower.com,7
southside-place.org,7
carolina.rr.com,7
sce.com,7
sci-us.com,7
sjbc.com,7
cmshq.com,7
webtv.net,6
mailman.enron.com,6
palm.net,6
dellnet.com,6
bankofamerica.com,6
ubspainewebber.com,6
conectiv.com,6
dttus.com,6
ensr.com,6
nge.com,6
statoilenergy.com,6
tva.gov,6
wrf.com,6
caes.net,6
aeglobalmarkets.com,6
colcnr.com,6
osubeavers.com,6
epsa.org,6
avistacorp.com,6
jsc.nasa.gov,6
airliquide.com,6
sas.upenn.edu,6
riskwaters.com,6
isye.gatech.edu,6
bflassociates.com,6
ci.pasadena.ca.us,6
kvaerner.com,6
capstoneenergy.com,6
swgas.com,6
marekbros.com,6
idrc.org,5
prodigy.net,5
hp.com,5
hines.com,5
flex.net,5
perrygas.com,5
scana.com,5
metromediaenergy.com,5
kwikset.com,5
mail.law.utexas.edu,5
intur.net,5
paincarecenter.com,5
arthuranderson.com,5
tcast.com,5
vnf.com,5
mail.house.gov,5
crescentcom.com,5
uh.edu,5
cera.com,5
petronas.com.my,5
uk.arthurandersen.com,5
caminus.com,5
esaibos.com,5
ecoutlook.com,5
ppco.com,5
bek.com,5
ssfrancis.org,5
samsung.co.kr,5
swcbc.net,5
unocal.com,5
lgeenergy.com,5
hearme.com,5
insightpartners.com,5
advent.com,5
