Word,Count
said,1321
new,862
state,547
two,498
year,495
friday,473
president,471
tuesday,442
saturday,429
sunday,429
monday,418
thursday,405
wednesday,399
police,398
first,388
one,388
city,359
people,327
york,325
man,319
years,288
world,284
week,277
government,273
last,272
former,267
united,262
three,260
federal,259
home,250
would,242
died,233
time,230
group,225
officials,218
country,216
says,215
night,211
say,206
states,206
court,204
four,198
day,197
trump,196
times,187
second,181
old,181
could,175
company,174
killed,173
million,172
donald,172
obama,171
long,167
season,164
national,164
family,164
minister,163
republican,163
south,162
american,160
may,160
next,159
latest,159
back,157
late,156
win,155
top,155
house,155
reports,153
european,151
local,151
month,147
five,146
made,145
death,145
team,144
law,140
security,139
away,133
shot,133
game,130
judge,130
china,129
victory,128
islamic,128
according,128
wife,128
barack,127
clinton,127
john,126
lead,125
high,125
end,123
department,121
left,121
school,120
scored,119
white,119
woman,119
public,118
open,118
inc,118
university,117
children,117
deal,117
military,117
points,116
found,116
reported,116
bank,116
league,116
run,116
women,115
chief,114
california,114
north,112
major,112
born,112
washington,111
official,111
beat,110
final,110
hillary,109
beloved,108
chicago,107
help,107
six,105
told,104
rights,104
set,104
life,104
officer,103
days,103
union,103
party,102
charges,101
since,101
prime,101
billion,101
cut,100
campaign,100
passed,100
cup,99
including,98
leader,97
texas,97
following,97
hit,97
central,97
election,97
news,96
coach,95
least,95
men,95
war,95
oil,94
black,94
syria,94
general,93
part,93
head,93
air,93
attacks,92
prison,92
florida,91
shooting,91
executive,91
accused,91
like,91
attack,90
age,90
david,90
syrian,90
third,89
agency,88
french,88
leaders,88
russian,88
plans,87
democratic,87
way,86
even,86
another,86
make,86
husband,86
carolina,85
around,85
led,85
candidate,85
board,85
many,85
officers,85
big,84
show,84
britain,84
mother,84
work,83
capital,83
british,83
take,82
market,82
financial,82
foreign,82
father,81
san,81
car,81
near,80
health,80
reporter,79
killing,79
charged,79
german,78
west,78
percent,78
office,78
right,77
pay,77
media,77
games,76
held,76
arrested,76
film,76
start,76
record,76
early,75
nearly,75
ahead,75
turkey,75
used,74
center,74
round,74
james,74
get,74
ago,74
nation,74
business,74
use,74
thousands,73
announced,73
still,73
england,73
college,73
put,73
friend,73
passing,73
southern,72
bill,72
club,72
political,72
called,72
secretary,72
love,71
weekend,71
case,71
nations,71
decision,71
seven,71
member,71
russia,71
force,71
peacefully,71
water,70
rough,70
number,70
saying,69
months,69
members,69
support,69
companies,69
park,68
fire,68
mexico,68
trial,67
chinese,67
best,67
loving,67
much,66
expected,66
february,66
series,66
northern,65
play,65
title,65
several,65
also,65
april,65
iran,65
race,65
released,65
great,65
took,64
michael,64
career,64
star,64
global,64
son,64
paris,64
without,64
talks,64
senate,64
loss,63
guilty,63
narration,63
half,63
nuclear,63
money,63
young,63
july,63
manager,62
area,62
governor,62
east,62
might,62
among,61
power,61
corp,61
service,61
trying,61
france,61
june,61
whether,61
tour,60
showed,60
stock,60
online,60
forces,60
move,60
opening,60
largest,60
senior,60
look,60
press,59
meeting,59
biggest,59
winning,58
match,58
past,58
economic,58
detroit,58
small,58
outside,58
dead,58
weeks,58
olympic,58
across,57
economy,57
murder,57
recent,57
side,57
plan,57
stocks,57
germany,57
los,57
leading,56
civil,56
sentenced,56
america,56
report,56
australia,55
industry,55
march,55
football,55
close,55
video,55
human,55
attorney,55
angeles,55
devoted,55
quarter,54
trade,54
survived,54
summer,54
place,54
boy,54
making,54
defense,53
players,53
border,53
lawsuit,53
korea,53
bay,52
got,52
grand,52
supreme,52
hold,52
island,52
fourth,51
december,51
agreed,51
street,51
face,51
energy,51
paul,51
african,51
return,51
student,51
hours,51
must,51
director,51
story,51
keep,51
gov,50
jersey,50
november,50
western,50
body,50
eight,50
staff,50
associated,50
leave,50
hospital,50
lost,50
behind,50
drug,50
europe,50
whose,50
despite,50
pleaded,49
coast,49
likely,49
london,49
going,49
music,49
goal,48
opposition,48
legal,48
army,48
strong,48
interest,48
far,48
students,48
front,47
town,47
test,47
real,47
come,47
olympics,47
tax,47
went,47
agreement,47
hundreds,46
criminal,46
michigan,46
raised,46
decades,46
fight,46
convicted,46
euro,46
robert,46
based,46
change,46
county,46
mark,46
militants,46
daughter,46
anti,45
using,45
premier,45
control,45
americans,45
well,45
history,45
job,45
gave,45
